Country,Value
Australia,7.3
Austria,7.1
Belgium,6.9
Canada,7.4
Czech Republic,6.7
Denmark,7.6
Finland,7.6
France,6.5
Germany,7
Greece,5.4
Hungary,5.6
Iceland,7.5
Ireland,7
Italy,6
Japan,5.9
Korea,5.9
Luxembourg,6.9
Mexico,6.5
Netherlands,7.4
New Zealand,7.3
Norway,7.6
Poland,6.1
Portugal,5.4
Slovak Republic,6.2
Spain,6.3
Sweden,7.3
Switzerland,7.5
Turkey,5.5
United Kingdom,6.8
United States,6.9
Brazil,6.4
Chile,6.5
Estonia,5.7
Israel,7.2
Latvia,5.9
Russia,5.8
Slovenia,5.9
South Africa,4.7
OECD - Total,6.5
Colombia,6.3
Lithuania,5.9
